,experiment,hour,date,device_make,platform_os,aware
7042,control,15,2020-07-03,Generic Smartphone,6,True
7054,control,4,2020-07-04,Generic Smartphone,6,True
7069,control,21,2020-07-08,EVA-L09,6,True
7090,control,15,2020-07-03,Generic Smartphone,6,True
7095,control,5,2020-07-09,iPhone,5,True
7117,control,21,2020-07-08,Generic Smartphone,6,True
7123,control,16,2020-07-04,Generic Smartphone,6,True
7125,exposed,14,2020-07-05,LG-$2,6,True
7127,exposed,10,2020-07-09,Samsung SM-G955F,6,True
7133,control,21,2020-07-08,Generic Smartphone,6,True
7150,control,6,2020-07-10,Generic Smartphone,6,True
7151,control,15,2020-07-03,Samsung SM-G986B,6,True
7156,exposed,18,2020-07-04,Generic Smartphone,6,True
7157,exposed,7,2020-07-08,Samsung SM-N976B,6,True
7204,control,9,2020-07-09,PCT-L29,6,True
7215,control,7,2020-07-07,Generic Smartphone,6,True
7216,control,11,2020-07-04,Samsung SM-G970F,6,True
7227,exposed,8,2020-07-09,Samsung SM-G970F,6,True
7231,exposed,7,2020-07-08,Generic Smartphone,6,True
7236,exposed,23,2020-07-09,Generic Smartphone,6,True
7237,exposed,10,2020-07-03,Samsung SM-J500FN,6,True
7243,exposed,20,2020-07-09,Generic Smartphone,6,True
7255,control,15,2020-07-03,Generic Smartphone,6,True
7284,exposed,19,2020-07-05,Samsung SM-A505FN,6,True
7285,exposed,5,2020-07-10,Samsung SM-G965F,6,True
7322,exposed,8,2020-07-10,Generic Smartphone,6,True
7348,control,9,2020-07-07,Samsung SM-G935F,6,True
7375,exposed,7,2020-07-03,Generic Smartphone,6,True
7421,exposed,8,2020-07-06,Pixel 3a,6,True
7430,control,8,2020-07-06,Generic Smartphone,6,True
7465,control,11,2020-07-04,iPhone,5,True
7475,control,15,2020-07-03,Samsung SM-G981B,6,True
7485,exposed,2,2020-07-06,Nokia undefined$2$3,6,True
7489,control,15,2020-07-03,Samsung SM-G965F,6,True
7522,exposed,4,2020-07-10,Samsung SM-N960F,6,True
7535,exposed,3,2020-07-05,Generic Smartphone,6,True
7541,control,15,2020-07-03,MAR-LX1A,6,True
7542,exposed,21,2020-07-09,Generic Smartphone,6,True
7546,exposed,4,2020-07-10,Generic Smartphone,6,True
7566,control,21,2020-07-08,Generic Smartphone,6,True
7594,exposed,17,2020-07-09,Generic Smartphone,6,True
7608,control,15,2020-07-03,Samsung SM-J330FN,6,True
7610,exposed,9,2020-07-09,Generic Smartphone,6,True
7626,control,15,2020-07-03,G3311,6,True
7627,control,15,2020-07-08,FIG-LX1,6,True
7634,exposed,13,2020-07-07,Samsung SM-A202F,6,True
7650,exposed,13,2020-07-04,VCE-L22,6,True
7654,exposed,21,2020-07-09,Generic Smartphone,6,True
7657,control,15,2020-07-03,Pixel 2,6,True
7670,control,15,2020-07-03,Generic Smartphone,6,True
7675,control,2,2020-07-04,Samsung SM-G973F,6,True
7681,control,15,2020-07-03,Samsung SM-G930F,6,True
7692,exposed,20,2020-07-07,Samsung SM-G970F,6,True
7699,exposed,8,2020-07-09,Generic Smartphone,6,True
7723,exposed,13,2020-07-09,Generic Smartphone,6,True
7745,exposed,4,2020-07-08,Samsung SM-J530F,6,True
7782,exposed,17,2020-07-09,Samsung SM-G975F,6,True
7792,exposed,1,2020-07-04,Generic Smartphone,6,True
7797,exposed,8,2020-07-03,Samsung SM-J530F,6,True
7799,control,15,2020-07-03,Samsung SM-N970F,6,True
7803,exposed,2,2020-07-03,Samsung SM-A105FN,6,True
7808,control,3,2020-07-06,Samsung SM-A105FN,6,True
7809,exposed,13,2020-07-05,Samsung SM-G950F,6,True
7821,control,4,2020-07-10,Samsung SM-A715F,6,True
7827,exposed,4,2020-07-06,Generic Smartphone,6,True
7828,control,15,2020-07-03,Samsung SM-G935F,6,True
7845,control,15,2020-07-03,Generic Smartphone,6,True
7885,exposed,10,2020-07-05,Samsung SM-G950F,6,True
7890,control,5,2020-07-06,Generic Smartphone,6,True
7906,control,15,2020-07-03,Generic Smartphone,6,True
7918,exposed,13,2020-07-04,VOG-L29,6,True
7925,control,15,2020-07-03,Generic Smartphone,6,True
7940,control,15,2020-07-03,Generic Smartphone,6,True
7944,control,10,2020-07-10,XiaoMi Redmi S2,6,True
7962,exposed,6,2020-07-04,Generic Smartphone,6,True
7969,control,15,2020-07-03,Samsung SM-J330FN,6,True
7977,control,15,2020-07-03,Generic Smartphone,6,True
8004,control,15,2020-07-03,Samsung SM-G975F,6,True
8021,exposed,4,2020-07-09,Generic Smartphone,6,True
8031,control,1,2020-07-10,Generic Smartphone,6,True
8042,exposed,14,2020-07-09,Generic Smartphone,6,True
8054,exposed,8,2020-07-10,Samsung SM-G973F,6,True
8059,exposed,21,2020-07-05,Generic Smartphone,6,True
8063,exposed,1,2020-07-04,Generic Smartphone,6,True
2,exposed,2,2020-07-05,E5823,6,False
20,exposed,8,2020-07-06,Generic Smartphone,6,False
27,control,15,2020-07-03,Generic Smartphone,6,False
39,exposed,2,2020-07-10,Generic Smartphone,6,False
46,exposed,6,2020-07-05,I3312,6,False
48,control,15,2020-07-03,Generic Smartphone,6,False
56,exposed,14,2020-07-03,Generic Smartphone,6,False
62,control,15,2020-07-03,MRD-LX1,6,False
80,exposed,20,2020-07-09,Moto $2,6,False
95,exposed,20,2020-07-08,Generic Smartphone,6,False
99,control,2,2020-07-06,Samsung SM-J600FN,6,False
101,control,15,2020-07-03,Samsung SM-A105FN,6,False
109,exposed,8,2020-07-09,Generic Smartphone,6,False
135,exposed,19,2020-07-05,Generic Smartphone,6,False
141,exposed,5,2020-07-10,Generic Smartphone,6,False
160,control,15,2020-07-03,Samsung SM-G973F,6,False
223,exposed,0,2020-07-05,Generic Smartphone,6,False
225,exposed,20,2020-07-09,Samsung SM-G950F,6,False
240,control,22,2020-07-08,Generic Smartphone,6,False
253,control,19,2020-07-05,Generic Smartphone,6,False
258,exposed,6,2020-07-05,Samsung SM-G960F,6,False
259,exposed,3,2020-07-07,Samsung SM-N960F,6,False
299,exposed,19,2020-07-09,VOG-L09,6,False
300,control,15,2020-07-03,Generic Smartphone,6,False
323,exposed,5,2020-07-04,Samsung SM-G960F,6,False
335,control,15,2020-07-03,Generic Smartphone,6,False
355,exposed,22,2020-07-08,Generic Smartphone,6,False
356,control,8,2020-07-06,Samsung SM-A705FN,6,False
366,exposed,21,2020-07-08,Generic Smartphone,6,False
404,exposed,16,2020-07-10,Generic Smartphone,6,False
415,exposed,2,2020-07-10,Samsung SM-G950F,6,False
422,control,15,2020-07-03,ANE-LX1,6,False
434,control,2,2020-07-09,Generic Smartphone,6,False
439,exposed,0,2020-07-09,Samsung SM-A705FN,6,False
447,exposed,14,2020-07-09,Generic Smartphone,6,False
466,control,15,2020-07-03,POT-LX1,6,False
471,exposed,8,2020-07-09,Generic Smartphone,6,False
475,control,15,2020-07-03,Samsung SM-G973F,6,False
486,control,15,2020-07-03,Generic Smartphone,6,False
510,control,15,2020-07-03,Generic Smartphone,6,False
529,control,15,2020-07-05,Generic Smartphone,6,False
554,control,12,2020-07-10,Generic Smartphone,6,False
556,control,21,2020-07-04,Samsung SM-A705FN,6,False
559,exposed,10,2020-07-03,Generic Smartphone,6,False
633,control,2,2020-07-10,Samsung SM-A520F,6,False
637,control,9,2020-07-10,Generic Smartphone,6,False
650,exposed,17,2020-07-08,Generic Smartphone,6,False
653,control,15,2020-07-03,Generic Smartphone,6,False
658,control,15,2020-07-09,Generic Smartphone,6,False
663,exposed,0,2020-07-03,Generic Smartphone,6,False
682,control,15,2020-07-03,Generic Smartphone,6,False
685,control,10,2020-07-05,Generic Smartphone,6,False
689,exposed,16,2020-07-09,Generic Smartphone,6,False
698,exposed,12,2020-07-10,Generic Smartphone,6,False
726,control,15,2020-07-03,Samsung SM-J330FN,6,False
728,exposed,11,2020-07-05,Generic Smartphone,6,False
759,control,15,2020-07-03,Generic Smartphone,6,False
762,control,15,2020-07-03,STF-L09,6,False
763,exposed,10,2020-07-04,Generic Smartphone,6,False
766,exposed,6,2020-07-09,I3312,6,False
771,exposed,5,2020-07-10,Moto $2,6,False
775,exposed,19,2020-07-09,HTC 10,6,False
787,exposed,1,2020-07-03,Generic Smartphone,6,False
794,control,19,2020-07-03,iPhone,6,False
797,control,8,2020-07-07,Generic Smartphone,6,False
799,exposed,12,2020-07-03,VOG-L29,6,False
801,control,15,2020-07-03,XiaoMi Redmi Note 7,6,False
802,exposed,19,2020-07-05,Generic Smartphone,6,False
806,control,14,2020-07-09,Generic Smartphone,6,False
833,exposed,9,2020-07-04,Generic Smartphone,6,False
838,exposed,7,2020-07-06,Samsung SM-G981B,6,False
846,control,8,2020-07-06,Samsung SM-A520F,6,False
862,control,10,2020-07-09,Generic Smartphone,6,False
878,exposed,3,2020-07-06,Generic Smartphone,6,False
880,exposed,20,2020-07-08,Generic Smartphone,6,False
893,control,16,2020-07-07,POT-LX1,6,False
896,exposed,5,2020-07-08,ELE-L29,6,False
901,control,15,2020-07-03,Huawei Browser,6,False
909,control,15,2020-07-03,Samsung SM-A202F,6,False
934,control,20,2020-07-08,Generic Smartphone,6,False
945,exposed,17,2020-07-08,Samsung SM-G955F,6,False
952,exposed,8,2020-07-05,Generic Smartphone,6,False
976,exposed,7,2020-07-08,Samsung SM-A920F,6,False
1007,exposed,22,2020-07-05,Samsung SM-A520F,6,False
1042,exposed,16,2020-07-04,Samsung SM-G900F,6,False
1045,exposed,13,2020-07-09,Generic Smartphone,6,False
1070,exposed,16,2020-07-08,Generic Smartphone,6,False
1072,control,15,2020-07-03,Generic Smartphone,6,False
1097,exposed,8,2020-07-03,iPhone,5,False
1111,control,15,2020-07-03,Generic Smartphone,6,False
1115,control,4,2020-07-05,Samsung SM-G960F,6,False
1117,control,15,2020-07-04,Samsung SM-G930F,6,False
1161,control,15,2020-07-03,VOG-L09,6,False
1186,exposed,7,2020-07-03,LYA-L09,6,False
1196,exposed,9,2020-07-09,Generic Smartphone,6,False
1231,control,15,2020-07-03,Generic Smartphone,6,False
1236,exposed,7,2020-07-05,Generic Smartphone,6,False
1239,exposed,2,2020-07-04,Generic Smartphone,6,False
1271,exposed,2,2020-07-03,Nokia undefined$2$3,6,False
1272,exposed,18,2020-07-08,Samsung SM-G950F,6,False
1309,exposed,4,2020-07-05,MAR-LX1A,6,False
1312,control,7,2020-07-10,Samsung SM-G950F,6,False
1376,control,15,2020-07-09,Samsung SM-A320FL,6,False
1378,exposed,2,2020-07-10,Nokia$2$3,6,False
1386,control,15,2020-07-03,CLT-L09,6,False
1396,exposed,9,2020-07-10,Generic Smartphone,6,False
1429,control,15,2020-07-03,Samsung SM-J415FN,6,False
1435,control,9,2020-07-10,Samsung SM-G950F,6,False
1450,control,5,2020-07-05,Generic Smartphone,6,False
1459,control,18,2020-07-09,Generic Smartphone,6,False
1470,control,15,2020-07-03,Samsung SM-G970F,6,False
1475,exposed,16,2020-07-05,Generic Smartphone,6,False
1492,exposed,6,2020-07-09,Generic Smartphone,6,False
1514,control,15,2020-07-03,Generic Smartphone,6,False
1540,control,15,2020-07-03,Samsung SM-G973F,6,False
1560,exposed,15,2020-07-08,VOG-L29,6,False
1571,control,15,2020-07-03,Samsung SM-A705FN,6,False
1587,exposed,1,2020-07-10,Generic Smartphone,6,False
1624,control,3,2020-07-04,Generic Smartphone,6,False
1632,control,19,2020-07-08,Generic Smartphone,6,False
1639,exposed,11,2020-07-07,Generic Smartphone,6,False
1678,control,9,2020-07-04,Generic Smartphone,6,False
1684,control,6,2020-07-04,Generic Smartphone,6,False
1689,control,3,2020-07-10,Generic Smartphone,6,False
1709,exposed,13,2020-07-09,Generic Smartphone,6,False
1710,exposed,12,2020-07-05,Generic Smartphone,6,False
1728,control,6,2020-07-07,Generic Smartphone,6,False
1754,exposed,20,2020-07-07,Samsung SM-N960F,6,False
1783,exposed,11,2020-07-09,Generic Smartphone,6,False
1788,control,2,2020-07-06,Generic Smartphone,6,False
1795,exposed,1,2020-07-10,HTC U12+,6,False
1796,control,8,2020-07-05,Samsung SM-G770F,6,False
1806,exposed,3,2020-07-06,Generic Smartphone,6,False
1815,control,3,2020-07-07,Samsung SM-J330G,6,False
1832,control,18,2020-07-08,Generic Smartphone,6,False
1835,exposed,16,2020-07-08,Samsung SM-A105FN,6,False
1840,control,18,2020-07-08,Generic Smartphone,6,False
1841,exposed,15,2020-07-08,Generic Smartphone,6,False
1862,exposed,4,2020-07-09,Samsung SM-G975F,6,False
1867,exposed,0,2020-07-03,Generic Smartphone,6,False
1871,control,5,2020-07-05,Generic Smartphone,6,False
1879,exposed,1,2020-07-06,Generic Smartphone,6,False
1880,exposed,7,2020-07-03,Generic Smartphone,6,False
1881,control,14,2020-07-04,Generic Smartphone,6,False
1893,exposed,7,2020-07-03,Generic Smartphone,6,False
1894,exposed,1,2020-07-03,Samsung SM-J330FN,6,False
1915,exposed,7,2020-07-04,Generic Smartphone,6,False
1935,control,10,2020-07-09,I3312,6,False
1952,control,8,2020-07-09,Generic Smartphone,6,False
1966,control,10,2020-07-10,G3311,6,False
1967,exposed,10,2020-07-03,Samsung SM-G973F,6,False
1988,control,18,2020-07-05,Samsung SM-J320FN,6,False
1994,exposed,17,2020-07-05,Generic Smartphone,6,False
2018,control,10,2020-07-07,Generic Smartphone,6,False
2020,exposed,8,2020-07-09,Generic Smartphone,6,False
2040,control,7,2020-07-08,Generic Smartphone,6,False
2057,exposed,5,2020-07-09,Generic Smartphone,6,False
2068,exposed,19,2020-07-08,Generic Smartphone,6,False
2077,control,14,2020-07-09,Generic Smartphone,6,False
2083,control,5,2020-07-05,Generic Smartphone,6,False
2092,exposed,13,2020-07-04,Samsung SM-G950F,6,False
2126,exposed,20,2020-07-08,Samsung SM-J510FN,6,False
2134,exposed,10,2020-07-05,Generic Smartphone,6,False
2139,control,8,2020-07-04,XiaoMi Redmi 6A,6,False
2145,exposed,18,2020-07-08,Generic Smartphone,6,False
2172,exposed,9,2020-07-03,Generic Smartphone,6,False
2183,exposed,9,2020-07-06,Generic Smartphone,6,False
2184,exposed,3,2020-07-10,Generic Smartphone,6,False
2233,exposed,15,2020-07-08,SNE-LX1,6,False
2236,control,19,2020-07-09,Samsung SM-N976B,6,False
2239,exposed,2,2020-07-04,Generic Smartphone,6,False
2253,exposed,7,2020-07-06,Samsung SM-G960F,6,False
2263,exposed,16,2020-07-04,Samsung SM-G935F,6,False
2277,control,15,2020-07-03,Generic Smartphone,6,False
2286,control,12,2020-07-09,Samsung SM-A105FN,6,False
2287,exposed,12,2020-07-05,Generic Smartphone,6,False
2333,control,15,2020-07-03,Generic Smartphone,6,False
2347,control,15,2020-07-03,Generic Smartphone,6,False
2361,control,15,2020-07-03,Generic Smartphone,6,False
2363,control,2,2020-07-08,Generic Smartphone,6,False
2364,exposed,2,2020-07-07,Generic Smartphone,6,False
2367,exposed,8,2020-07-09,Generic Smartphone,6,False
2383,exposed,17,2020-07-07,Samsung SM-G980F,6,False
2387,exposed,8,2020-07-04,Generic Smartphone,6,False
2400,exposed,16,2020-07-08,Generic Smartphone,6,False
2416,control,4,2020-07-09,Nokia undefined$2$3,6,False
2417,exposed,10,2020-07-09,Samsung SM-G935F,6,False
2427,exposed,7,2020-07-05,LG-$2,6,False
2453,exposed,15,2020-07-09,Generic Smartphone,6,False
2456,exposed,10,2020-07-03,Samsung SM-G975F,6,False
2476,control,0,2020-07-09,Generic Smartphone,6,False
2477,exposed,0,2020-07-09,Generic Smartphone,6,False
2481,exposed,11,2020-07-10,Generic Smartphone,6,False
2487,control,5,2020-07-10,Samsung SM-A202F,6,False
2488,exposed,4,2020-07-04,Generic Smartphone,6,False
2490,exposed,8,2020-07-05,Generic Smartphone,6,False
2502,control,15,2020-07-03,Samsung SM-A520F,6,False
2521,exposed,15,2020-07-08,Generic Smartphone,6,False
2526,exposed,3,2020-07-10,Generic Smartphone,6,False
2547,control,1,2020-07-05,Samsung $2,6,False
2556,control,15,2020-07-10,Generic Smartphone,6,False
2563,exposed,8,2020-07-09,MRD-LX1,6,False
2564,control,7,2020-07-09,Samsung SM-J320FN,6,False
2573,exposed,18,2020-07-08,Samsung SM-G965U1,6,False
2574,exposed,8,2020-07-03,Generic Smartphone,6,False
2600,exposed,3,2020-07-04,Generic Smartphone,6,False
2602,control,15,2020-07-03,Samsung SM-G960F,6,False
2606,exposed,14,2020-07-09,Nokia$2$3,6,False
2610,exposed,11,2020-07-09,Generic Smartphone,6,False
2620,exposed,10,2020-07-04,Samsung SM-G900F,6,False
2630,control,15,2020-07-03,iPhone,5,False
2631,control,15,2020-07-03,iPhone,5,False
2637,exposed,3,2020-07-06,Generic Smartphone,6,False
2656,control,19,2020-07-04,Generic Smartphone,6,False
2660,control,15,2020-07-03,Generic Smartphone,6,False
2665,exposed,16,2020-07-09,Generic Smartphone,6,False
2675,exposed,7,2020-07-03,Generic Smartphone,6,False
2711,exposed,16,2020-07-09,Generic Smartphone,6,False
2720,control,15,2020-07-03,Generic Smartphone,6,False
2732,exposed,0,2020-07-07,Moto $2,6,False
2735,control,15,2020-07-03,Generic Smartphone,6,False
2771,control,15,2020-07-03,Generic Smartphone,6,False
2778,control,15,2020-07-03,Generic Smartphone,6,False
2791,control,3,2020-07-07,Generic Smartphone,6,False
2799,control,13,2020-07-04,Generic Smartphone,6,False
2813,exposed,9,2020-07-03,Generic Smartphone,6,False
2819,control,0,2020-07-06,VTR-L09,6,False
2826,exposed,12,2020-07-09,Generic Smartphone,6,False
2827,control,14,2020-07-08,Generic Smartphone,6,False
2863,exposed,14,2020-07-03,Generic Smartphone,6,False
2874,control,10,2020-07-09,Samsung SM-G973F,6,False
2880,exposed,8,2020-07-05,Samsung SM-G960F,6,False
2895,exposed,18,2020-07-07,Generic Smartphone,6,False
2910,control,15,2020-07-03,Generic Smartphone,6,False
2928,exposed,15,2020-07-05,Samsung SM-A105FN,6,False
2931,exposed,17,2020-07-09,Generic Smartphone,6,False
2938,control,14,2020-07-10,Generic Smartphone,6,False
2945,exposed,7,2020-07-08,Samsung SM-N960F,6,False
2948,control,19,2020-07-08,Generic Smartphone,6,False
2952,exposed,15,2020-07-08,Generic Smartphone,6,False
2973,exposed,3,2020-07-07,Samsung SM-G973F,6,False
2978,control,9,2020-07-09,Generic Smartphone,6,False
2984,control,3,2020-07-04,Generic Smartphone,6,False
2988,exposed,18,2020-07-08,Generic Smartphone,6,False
2989,exposed,11,2020-07-03,Generic Smartphone,6,False
2994,exposed,22,2020-07-08,Samsung SM-G960F,6,False
3018,exposed,8,2020-07-05,Samsung SM-G960F,6,False
3033,exposed,16,2020-07-04,Generic Smartphone,6,False
3056,exposed,11,2020-07-05,Samsung SM-A320FL,6,False
3076,exposed,15,2020-07-08,Generic Smartphone,6,False
3090,exposed,6,2020-07-05,Generic Smartphone,6,False
3097,exposed,14,2020-07-04,CLT-L09,6,False
3111,exposed,9,2020-07-06,Generic Smartphone,6,False
3119,exposed,17,2020-07-04,Generic Smartphone,6,False
3123,control,12,2020-07-04,Generic Smartphone,6,False
3131,exposed,12,2020-07-10,Samsung $2,6,False
3135,exposed,16,2020-07-10,Generic Smartphone,6,False
3138,exposed,14,2020-07-07,Generic Smartphone,6,False
3145,control,13,2020-07-09,Samsung SM-G960F,6,False
3158,exposed,19,2020-07-04,Generic Smartphone,6,False
3161,control,15,2020-07-03,Generic Smartphone,6,False
3166,exposed,20,2020-07-09,Samsung SM-A705FN,6,False
3190,control,14,2020-07-08,Samsung SM-A520F,6,False
3197,exposed,11,2020-07-09,Generic Smartphone,6,False
3237,exposed,12,2020-07-03,Generic Smartphone,6,False
3250,control,14,2020-07-08,Samsung SM-G960F,6,False
3262,control,15,2020-07-03,Generic Smartphone,6,False
3274,exposed,0,2020-07-05,Generic Smartphone,6,False
3280,exposed,10,2020-07-03,Generic Smartphone,6,False
3286,exposed,11,2020-07-03,Generic Smartphone,6,False
3305,control,15,2020-07-03,Generic Smartphone,6,False
3314,exposed,8,2020-07-03,Generic Smartphone,6,False
3330,control,5,2020-07-06,Generic Smartphone,6,False
3331,control,15,2020-07-03,Generic Smartphone,6,False
3332,exposed,4,2020-07-09,Samsung SM-A202F,6,False
3334,control,15,2020-07-03,Generic Smartphone,6,False
3341,exposed,4,2020-07-04,Generic Smartphone,6,False
3372,control,7,2020-07-04,Samsung SM-G970F,6,False
3374,control,4,2020-07-10,Generic Smartphone,6,False
3390,control,15,2020-07-03,MAR-LX1A,6,False
3412,exposed,15,2020-07-10,Generic Smartphone,6,False
3413,exposed,8,2020-07-03,Generic Smartphone,6,False
3445,control,15,2020-07-03,Generic Smartphone,6,False
3448,exposed,10,2020-07-03,Samsung SM-A405FN,6,False
3490,exposed,9,2020-07-03,Samsung SM-N920I,6,False
3532,control,18,2020-07-08,Samsung SM-G977B,6,False
3545,exposed,11,2020-07-05,Generic Smartphone,6,False
3565,exposed,10,2020-07-05,Generic Smartphone,6,False
3571,control,6,2020-07-04,Generic Smartphone,6,False
3588,exposed,8,2020-07-08,Generic Smartphone,6,False
3594,control,15,2020-07-03,Generic Smartphone,6,False
3621,control,5,2020-07-04,Nokia$2$3,6,False
3630,control,2,2020-07-04,Generic Smartphone,6,False
3639,control,15,2020-07-03,Generic Smartphone,6,False
3642,control,16,2020-07-09,Samsung SM-N970F,6,False
3644,control,15,2020-07-03,Generic Smartphone,6,False
3661,exposed,11,2020-07-03,Generic Smartphone,6,False
3665,control,20,2020-07-08,Generic Smartphone,6,False
3684,control,20,2020-07-08,ELE-L09,6,False
3700,control,5,2020-07-07,Generic Smartphone,6,False
3703,control,13,2020-07-08,Samsung SM-G975F,6,False
3712,control,15,2020-07-03,Samsung SM-G930F,6,False
3714,exposed,7,2020-07-06,Generic Smartphone,6,False
3734,exposed,15,2020-07-04,Generic Smartphone,6,False
3752,exposed,15,2020-07-04,Generic Smartphone,6,False
3763,control,15,2020-07-03,Samsung SM-G950F,6,False
3776,exposed,8,2020-07-06,Generic Smartphone,6,False
3777,exposed,7,2020-07-06,Generic Smartphone,6,False
3805,control,20,2020-07-04,Samsung SM-J330FN,6,False
3808,exposed,8,2020-07-04,Generic Smartphone,6,False
3816,control,16,2020-07-10,Generic Smartphone,6,False
3833,control,12,2020-07-04,Nokia$2$3,6,False
3848,exposed,15,2020-07-10,Samsung SM-G950F,6,False
3854,exposed,2,2020-07-10,Generic Smartphone,6,False
3862,control,2,2020-07-09,Generic Smartphone,6,False
3886,exposed,19,2020-07-08,Generic Smartphone,6,False
3888,exposed,19,2020-07-09,Samsung SM-A105FN,6,False
3898,exposed,21,2020-07-08,Samsung SM-G950F,6,False
3917,control,15,2020-07-03,Samsung SM-J600FN,6,False
3946,exposed,21,2020-07-09,Samsung SM-G975F,6,False
3957,control,1,2020-07-06,MAR-LX1A,6,False
3982,control,13,2020-07-07,Generic Smartphone,6,False
3986,exposed,7,2020-07-05,Generic Smartphone,6,False
3991,exposed,13,2020-07-05,Samsung SM-G950F,6,False
3995,control,5,2020-07-05,CLT-L09,6,False
4011,exposed,8,2020-07-06,Samsung SM-G950F,6,False
4012,control,9,2020-07-04,Generic Smartphone,6,False
4015,control,18,2020-07-08,Generic Smartphone,6,False
4028,exposed,13,2020-07-10,Samsung SM-A300FU,6,False
4031,exposed,14,2020-07-07,Samsung SM-G960F,6,False
4039,exposed,18,2020-07-09,Generic Smartphone,6,False
4048,exposed,5,2020-07-06,Samsung SM-A505FN,6,False
4061,control,21,2020-07-05,Generic Smartphone,6,False
4069,control,15,2020-07-03,Generic Smartphone,6,False
4071,exposed,9,2020-07-03,Generic Smartphone,6,False
4081,control,0,2020-07-07,Generic Smartphone,6,False
4102,exposed,11,2020-07-09,POT-LX1,6,False
4104,exposed,22,2020-07-08,Samsung SM-G980F,6,False
4112,control,15,2020-07-03,Samsung SM-A515F,6,False
4124,exposed,13,2020-07-08,Generic Smartphone,6,False
4129,exposed,6,2020-07-04,PRA-LX1,6,False
4133,control,7,2020-07-10,Generic Smartphone,6,False
4142,control,15,2020-07-03,Generic Smartphone,6,False
4154,exposed,14,2020-07-09,Generic Smartphone,6,False
4166,control,15,2020-07-03,Generic Smartphone,6,False
4239,exposed,10,2020-07-09,Generic Smartphone,6,False
4243,exposed,3,2020-07-08,Generic Smartphone,6,False
4245,exposed,5,2020-07-08,iPhone,5,False
4250,exposed,12,2020-07-09,Generic Smartphone,6,False
4285,control,9,2020-07-06,Generic Smartphone,6,False
4294,control,0,2020-07-10,Samsung SM-G950F,6,False
4297,exposed,7,2020-07-10,Generic Smartphone,6,False
4345,exposed,1,2020-07-10,Generic Smartphone,6,False
4355,exposed,14,2020-07-10,Samsung SM-N960F,6,False
4360,exposed,14,2020-07-04,Generic Smartphone,6,False
4362,exposed,14,2020-07-04,Generic Smartphone,6,False
4363,control,15,2020-07-03,Samsung SM-A320FL,6,False
4374,control,15,2020-07-03,Samsung SM-N950F,6,False
4375,exposed,5,2020-07-09,Generic Smartphone,6,False
4393,exposed,1,2020-07-10,Generic Smartphone,6,False
4403,exposed,7,2020-07-05,Generic Smartphone,6,False
4405,control,15,2020-07-08,Samsung SM-A405FN,6,False
4412,exposed,18,2020-07-08,Generic Smartphone,6,False
4455,exposed,10,2020-07-04,Generic Smartphone,6,False
4463,exposed,9,2020-07-04,Samsung SM-A505FN,6,False
4473,exposed,9,2020-07-07,Samsung SM-G900F,6,False
4487,exposed,4,2020-07-07,Generic Smartphone,6,False
4492,control,13,2020-07-09,Samsung SM-G986B,6,False
4501,control,15,2020-07-03,Samsung SM-G973F,6,False
4510,exposed,10,2020-07-03,EVR-N29,6,False
4512,exposed,5,2020-07-06,Generic Smartphone,6,False
4516,exposed,10,2020-07-05,I3312,6,False
4529,control,11,2020-07-04,Generic Smartphone,6,False
4551,control,15,2020-07-03,Generic Smartphone,6,False
4553,exposed,1,2020-07-06,Generic Smartphone,6,False
4558,control,15,2020-07-03,Generic Smartphone,6,False
4565,exposed,4,2020-07-05,Generic Smartphone,6,False
4579,control,15,2020-07-03,Generic Smartphone,6,False
4583,control,15,2020-07-03,Samsung SM-G960F,6,False
4601,control,10,2020-07-07,LYA-L09,6,False
4604,exposed,12,2020-07-08,Samsung SM-G610F,6,False
4623,exposed,1,2020-07-09,Generic Smartphone,6,False
4637,exposed,4,2020-07-06,Generic Smartphone,6,False
4643,exposed,10,2020-07-04,ANE-LX1,6,False
4648,exposed,1,2020-07-10,Samsung SM-A920F,6,False
4655,control,4,2020-07-07,Generic Smartphone,6,False
4661,control,20,2020-07-08,Generic Smartphone,6,False
4685,control,4,2020-07-04,Generic Smartphone,6,False
4706,control,14,2020-07-10,iPhone,5,False
4710,exposed,12,2020-07-10,Generic Smartphone,6,False
4719,exposed,7,2020-07-08,Samsung SM-A405FN,6,False
4735,control,7,2020-07-10,Generic Smartphone,6,False
4749,control,12,2020-07-04,iPhone,5,False
4765,exposed,21,2020-07-07,Generic Smartphone,6,False
4767,exposed,17,2020-07-07,Samsung SM-A515F,6,False
4774,control,15,2020-07-03,Samsung SM-G980F,6,False
4775,exposed,19,2020-07-08,Generic Smartphone,6,False
4794,control,15,2020-07-03,MAR-LX1A,6,False
4800,exposed,6,2020-07-04,Generic Smartphone,6,False
4809,exposed,11,2020-07-04,Generic Smartphone,6,False
4820,exposed,16,2020-07-09,Samsung SM-G965F,6,False
4843,control,2,2020-07-05,Generic Smartphone,6,False
4845,control,15,2020-07-03,Generic Smartphone,6,False
4847,exposed,4,2020-07-05,Generic Smartphone,6,False
4865,exposed,7,2020-07-10,Generic Smartphone,6,False
4867,control,15,2020-07-03,Samsung SM-G960F,6,False
4871,control,1,2020-07-06,iPhone,5,False
4881,exposed,2,2020-07-10,Generic Smartphone,6,False
4897,control,1,2020-07-09,Generic Smartphone,6,False
4901,exposed,5,2020-07-07,Generic Smartphone,6,False
