,auction_id,experiment,date,hour,device_make,platform_os,browser,yes,no
5557,b036a6e1-5139-4d36-9776-ee154091cf08,control,2020-07-03,15,EML-L09,6,Chrome Mobile WebView,0,1
5562,b05bc1a8-5f4d-4cc6-bfc1-b2962006cfa2,exposed,2020-07-04,6,Samsung SM-G950F,6,Chrome Mobile WebView,0,1
5978,bd96e74d-d870-4784-b36f-57f17bd264b9,control,2020-07-03,15,Samsung SM-G988B,6,Chrome Mobile WebView,0,1
5814,b7ce3083-2364-4650-81d6-27ce10e25ff9,exposed,2020-07-08,18,Samsung SM-J600FN,6,Chrome Mobile WebView,0,1
5831,b86369f1-087c-4476-afe6-78e20a34db05,exposed,2020-07-03,12,Samsung SM-A505FN,6,Chrome Mobile WebView,0,1
5858,b9684726-5a27-43ce-996c-87a0a35a0f09,exposed,2020-07-08,15,Pixel 4,6,Chrome Mobile WebView,0,1
6004,be8b07ec-d125-4a6f-9af7-8062026cc6c2,control,2020-07-03,15,Samsung SM-G920F,6,Chrome Mobile WebView,0,1
6036,bfaa07e5-99ed-4975-b941-057d91629a61,exposed,2020-07-08,16,Samsung SM-A202F,6,Chrome Mobile WebView,0,1
6257,c6f7e8c5-61f2-45a4-a5de-cf5c2427bb76,exposed,2020-07-09,9,Moto $2,6,Chrome Mobile WebView,0,1
6320,c8debff5-48be-4a6e-9a6b-eab3d676bdb8,control,2020-07-05,10,Samsung SM-G960F,6,Chrome Mobile WebView,0,1
6779,d771496a-fdbe-4da2-b08b-1409bd5c76e9,control,2020-07-06,9,Samsung SM-A705FN,6,Chrome Mobile WebView,0,1
6967,dd83a8b9-a95e-4f4e-ab4e-71bf94104aa8,exposed,2020-07-04,11,Samsung SM-A600FN,6,Chrome Mobile WebView,0,1
6821,d89be46e-f103-46d2-8722-5571995bf13d,control,2020-07-03,15,Samsung SM-J810F,6,Chrome Mobile WebView,0,1
7166,e3d9dd45-d1b7-4502-ab4a-d7f9f3a1c272,control,2020-07-08,19,Samsung SM-G960F,6,Chrome Mobile WebView,0,1
7165,e3d59e20-ea87-4c11-8010-9412dd27e640,exposed,2020-07-08,19,Generic Smartphone,6,Chrome Mobile WebView,0,1
7163,e3b19548-2909-40aa-8302-1cb074aa73ce,exposed,2020-07-08,13,Samsung SM-A202F,6,Chrome Mobile WebView,0,1
7026,df4dc193-21b3-442e-bbd5-5580e22fc687,exposed,2020-07-10,4,Samsung SM-A300FU,6,Chrome Mobile WebView,0,1
7116,e1fa9295-6381-476f-b6b4-996af7c3ecc8,exposed,2020-07-03,7,Samsung SM-G920F,6,Chrome Mobile WebView,0,1
7059,e02afb7a-e3b3-4fc2-98c9-62bcff10712a,exposed,2020-07-09,17,Samsung SM-G925F,6,Chrome Mobile WebView,0,1
7437,eb6f50cd-329c-4ca6-8946-b909b56da2fd,exposed,2020-07-06,9,Samsung SM-G975F,6,Chrome Mobile WebView,0,1
7267,e6cefd2b-d5c3-43b0-b241-0dc820ef5c22,control,2020-07-10,3,Samsung SM-J330F,6,Chrome Mobile WebView,0,1
7314,e7f2c91a-5c80-490e-b3a9-9ebb3fad4ef9,exposed,2020-07-06,7,OnePlus ONEPLUS A6013,6,Chrome Mobile WebView,0,1
7596,f0a15526-6329-41e2-a867-5ac06eb3a1e8,exposed,2020-07-09,8,Pixel 2,6,Chrome Mobile WebView,0,1
7451,ebc90043-5582-4b06-8c1f-f0c16b1a6933,exposed,2020-07-05,3,Samsung SM-G950F,6,Chrome Mobile WebView,0,1
7479,ecf7f3e3-198a-46a2-9916-e5c4af543f51,exposed,2020-07-03,13,Generic Smartphone,6,Chrome Mobile WebView,0,1
7334,e895db75-d021-44cd-89c0-583abc0a67b0,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile WebView,0,1
7768,f63133b5-7748-4423-bca9-6e5b409a53e6,exposed,2020-07-08,14,Generic Smartphone,6,Chrome Mobile WebView,0,1
7901,fa4f3a29-0b51-4fb2-b1e8-8e1bc0ae8373,exposed,2020-07-10,8,Samsung SM-A300FU,6,Chrome Mobile WebView,0,1
7975,fc3f29c6-5204-4cf2-b418-608ff0ab1282,control,2020-07-10,12,Samsung SM-A520F,6,Chrome Mobile WebView,0,1
